Product Code,Available,12/25/2025,12/31/2025,01/05/2026,01/12/2026,01/15/2026,01/16/2026,01/20/2026,01/30/2026,02/04/2026,02/06/2026,02/10/2026,02/13/2026,02/16/2026,03/13/2026,03/16/2026,03/20/2026
DANA-CH-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANA-CH-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANA-CH-18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP25001-BL-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP25001-LC-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP25001-LC-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP25001-PK-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP25001-WH-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP25001-WH-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP25002-BL-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP25002-PK-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP25002-WH-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP25003-BL-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP25003-BL-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP25003-ST-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP25003-WH-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP25003-WH-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP25003-WH-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS120X-PK-0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS208X-BK-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS208X-BK-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-BLMU-0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-BLMU-00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-BLMU-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-BLMU-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-BLMU-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-BLMU-08,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-BLMU-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-BLMU-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-BLMU-14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-BLMU-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-DRD-0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-DRD-00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-DRD-02,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-DRD-04,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-DRD-06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-DRD-08,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-DRD-10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-DRD-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-DRD-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-EM-0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-EM-00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-EM-04,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-EM-06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-EM-08,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-PKMU-0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-PKMU-00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-PKMU-02,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-PKMU-04,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-PKMU-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS21013-PKMU-08,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
