"STYLE#    ","COLOR                                             ","GROUP ALIKE","OOO       ","OO        ","0         ","2         ","4         ","6         ","8         ","10        ","12        ","14        ","16        ","18        ","20        ","22        ","24        ","26        ","28        ","30        ","32        ","LIST PRICE","ORIG LIST PRICE","SEASON","CURR SEASON"
"218       ","ROYAL                                             ","ST         ","0         ","0         ","1         ","1         ","0         ","0         ","1         ","1         ","0         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","78.00     ","78.00          ","S24   ","S24        "
"220       ","RED                                               ","ST         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","2         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","140.00    ","140.00         ","S24   ","S24        "
"220       ","EVERGLADE                                         ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","140.00    ","140.00         ","S24   ","S24        "
"220       ","MIDNIGHT                                          ","ST         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","1         ","1         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","140.00    ","140.00         ","S24   ","S24        "
"221       ","RED                                               ","ST         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","83.00     ","83.00          ","S24   ","S24        "
"221       ","PINE                                              ","ST         ","0         ","0         ","1         ","1         ","1         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","83.00     ","83.00          ","S24   ","S24        "
"222       ","RED                                               ","ST         ","0         ","1         ","1         ","1         ","1         ","0         ","1         ","0         ","0         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","83.00     ","83.00          ","S24   ","S24        "
"222       ","PINE                                              ","ST         ","0         ","0         ","1         ","1         ","0         ","1         ","1         ","1         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","83.00     ","83.00          ","S24   ","S24        "
"224       ","BLACK                                             ","ST         ","0         ","1         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"224       ","RED                                               ","ST         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","2         ","1         ","2         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"224       ","ROYAL                                             ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"224       ","FUCHSIA                                           ","ST         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"228       ","BLACK                                             ","BG         ","0         ","1         ","0         ","2         ","0         ","1         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","215.00    ","215.00         ","S24   ","S24        "
"228       ","CLARET                                            ","BG         ","0         ","0         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","215.00    ","215.00         ","S24   ","S24        "
"231       ","ELECTRIC BLUE                                     ","ST         ","0         ","1         ","1         ","0         ","0         ","0         ","1         ","0         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","79.50     ","79.50          ","S24   ","S24        "
"231       ","LAPIS                                             ","ST         ","0         ","1         ","1         ","0         ","0         ","0         ","1         ","0         ","2         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","79.50     ","79.50          ","S24   ","S24        "
"231       ","ELECTRIC FUCHSIA                                  ","ST         ","0         ","0         ","1         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","79.50     ","79.50          ","S24   ","S24        "
"232       ","BLACK                                             ","ST         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"232       ","RED                                               ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"233       ","MIDNIGHT                                          ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","88.00     ","88.00          ","S24   ","S24        "
"233       ","PINE                                              ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","88.00     ","88.00          ","S24   ","S24        "
"234       ","BLACK                                             ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","83.00     ","83.00          ","S24   ","S24        "
