"STYLE#    ","COLOR                                             ","GROUP ALIKE","OOO       ","OO        ","0         ","2         ","4         ","6         ","8         ","10        ","12        ","14        ","16        ","18        ","20        ","22        ","24        ","26        ","28        ","30        ","32        ","LIST PRICE","ORIG LIST PRICE","SEASON","CURR SEASON"
"4807      ","LIGHT BLUE-SILVER                                 ","ST         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","214.00    ","224.00         ","F24   ","F24        "
"4807      ","BLACK-CHARCOAL                                    ","ST         ","1         ","2         ","1         ","2         ","1         ","2         ","2         ","2         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","214.00    ","224.00         ","F24   ","F24        "
"4813      ","BLACK-SAND                                        ","ST         ","0         ","0         ","0         ","2         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","114.00    ","119.00         ","F24   ","F24        "
"4813      ","SHOCKING PINK                                     ","ST         ","0         ","0         ","0         ","0         ","2         ","2         ","0         ","1         ","3         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","114.00    ","119.00         ","F24   ","F24        "
"4817      ","MIDNIGHT-SILVER                                   ","ST         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","3         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","114.00    ","114.00         ","F24   ","F24        "
"4817      ","CLARET                                            ","ST         ","0         ","0         ","0         ","0         ","1         ","0         ","2         ","2         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","114.00    ","114.00         ","F24   ","F24        "
"4822      ","BUBBLEGUM                                         ","ST         ","0         ","2         ","0         ","2         ","1         ","1         ","2         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","84.00     ","84.00          ","F24   ","F24        "
"4822      ","MIDNIGHT                                          ","ST         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","84.00     ","84.00          ","F24   ","F24        "
"4825      ","BARBIE PINK                                       ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","139.00    ","149.00         ","F24   ","F24        "
"4826      ","BLACK                                             ","SH         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","39.98     ","124.00         ","F24   ","F24        "
"4829      ","MIDNIGHT                                          ","SH         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","62.50     ","129.00         ","F24   ","F24        "
"4835      ","LAPIS                                             ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","2         ","1         ","1         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","119.00    ","124.00         ","F24   ","F24        "
"4840      ","LIME                                              ","ST         ","0         ","2         ","3         ","0         ","0         ","1         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","189.00    ","194.00         ","F24   ","F24        "
"4840      ","BLACK-GOLD-SILVER                                 ","ST         ","0         ","1         ","0         ","0         ","0         ","0         ","1         ","3         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","189.00    ","194.00         ","F24   ","F24        "
"4841      ","BLACK-SILVER-MULTI                                ","ST         ","0         ","0         ","0         ","1         ","1         ","0         ","2         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","174.00    ","184.00         ","F24   ","F24        "
"4841      ","BLACK-BARBIE PINK                                 ","ST         ","0         ","1         ","0         ","0         ","0         ","3         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","174.00    ","184.00         ","F24   ","F24        "
"4848      ","BLACK-FUCHSIA                                     ","ST         ","0         ","0         ","0         ","0         ","0         ","2         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","99.00     ","114.00         ","F24   ","F24        "
"4872      ","BLACK-MULTI                                       ","ST         ","0         ","0         ","2         ","2         ","0         ","3         ","1         ","1         ","2         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","174.00    ","174.00         ","F24   ","F24        "
"4873      ","BLACK                                             ","ST         ","0         ","0         ","1         ","2         ","1         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","174.00    ","179.00         ","F24   ","F24        "
"4873      ","EMERALD                                           ","ST         ","1         ","1         ","1         ","0         ","1         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","174.00    ","179.00         ","F24   ","F24        "
"4881      ","BLACK-SILVER-MULTI                                ","ST         ","1         ","1         ","1         ","2         ","0         ","3         ","2         ","0         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","154.00    ","159.00         ","F24   ","F24        "
"4881      ","CHAMPAGNE-MULTI                                   ","ST         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","2         ","2         ","2         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","154.00    ","159.00         ","F24   ","F24        "
